breed_id,breed_name,species,home_tract,states,origin,coat_colour,horn_characteristics,body_characteristics,production_type,milk_information,description,official_source,official_source_url
cow_amritmahal,Amritmahal,cattle,"Chitradurga, Chikmagalur, Hassan, Shimoga and Tumkur districts",Karnataka,"Karnataka, India","Grey shades varying from almost white to nearly black, with darker markings on shoulder and hindquarters","Long, sharp, backward sweeping horns emerging close together from top of poll and curving inwards","Compact, muscular, medium-sized animal with tight skin and alert posture",Draught,Poor milker; primarily raised for fierce draught power and endurance (Avg: 572 kg per lactation),Historical warrior draught breed developed by the erstwhile royal house of Mysore for rapid transport and military campaigns.,ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/cattle-breed
cow_bachaur,Bachaur,cattle,"Sitamarhi, Madhubani, Darbhanga and Muzaffarpur districts",Bihar,"Bihar, India",Grey or greyish-white,"Small, stumpy horns curving outwards and upwards","Compact, medium-sized, symmetrical body with straight back",Draught,"Low milk yield, calves suckle most of the milk (Avg: 347 kg per lactation)","Prominent draught cattle breed of North Bihar closely related to Hariana type, known for work in muddy soils.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/cattle-breed
cow_bargur,Bargur,cattle,Bargur forest hills in Anthiyur and Bhavani taluks of Erode district,Tamil Nadu,"Tamil Nadu, India","Brown with distinct white patches, occasionally full white or full brown markings","Light brown, curving backward and outward with sharp points","Small to medium, compact, lithe and agile frame suited for forest hill climbing",Draught,"Low milk yield, cows yield 0.5 to 2.0 litres per day (Avg: 350 kg per lactation)","Semi-feral hill cattle reared by the Lingayat community in Bargur hills of Tamil Nadu, known for agility and speed.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/cattle-breed
cow_dangi,Dangi,cattle,"Ahmednagar, Nashik, Thane districts in Maharashtra and Dang district in Gujarat",Maharashtra and Gujarat,"Maharashtra & Gujarat, India",Distinctive broken coat of white with reddish-brown or black speckles / patches,"Short, thick horns pointing upwards and outwards with blunt tips",Medium-sized with hardy hooves and oily skin secretion protecting against torrential rains,Draught,"Moderate to low milk production, mainly reared for paddy cultivation draught (Avg: 430 kg per lactation)",Hardy draught breed of the Western Ghats famous for working tirelessly in slushy paddy fields under torrential downpours.,ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/cattle-breed
cow_deoni,Deoni,cattle,"Latur, Nanded, Parbhani, Osmanabad (Maharashtra) and Bidar (Karnataka)",Maharashtra and Karnataka,"Maharashtra & Karnataka, India","Spotted black and white, ranging from Balankya (white with black spots) to Wannera (clear black face)","Medium length, curving backward and outward with tips turned slightly inward","Medium to large, deep frame with pronounced dewlap and hump",Dual purpose (Milk and Draught),"Good dairy potential among indigenous draught breeds (Avg: 1,135 kg per lactation)","Premier dual-purpose breed of the Deccan plateau evolved from Gir, Dangi and local cattle crosses, recognized for milk and draught.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/cattle-breed
cow_gaolao,Gaolao,cattle,"Wardha, Nagpur (Maharashtra) and Chhindwara, Seoni (Madhya Pradesh)",Maharashtra and Madhya Pradesh,"Maharashtra & Madhya Pradesh, India","White or light grey in females; males have darker grey on neck, hump and quarters","Short, stumpy, curving slightly backward","Narrow, long head, straight back, clean-limbed and athletic conformation",Dual purpose (Milk and Draught),Fair milkers under good feeding management (Avg: 604 kg per lactation),Central Indian dual-purpose breed prized for brisk trotting bullocks and reasonable domestic milk production.,ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/cattle-breed
cow_gir,Gir,cattle,"Gir hills and Kathiawar peninsula: Junagadh, Bhavnagar, Amreli, Rajkot",Gujarat,"Gujarat, India","Shades of red, speckled white and red, mottled red with white or solid dark red","Distinctive horns emerging downward and backward, curving upward in a spiral crescent","Large, majestic body, massive hump, loose pendulous dewlap and sheath",Milking (Dairy),"One of the premier indigenous dairy breeds with high A2 beta-casein content (Avg: 2,110 kg per lactation)","World-famous dairy breed originating in the Gir forests of Gujarat, renowned for sweet A2 milk, docility and thermal tolerance.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/cattle-breed
cow_hallikar,Hallikar,cattle,"Tumkur, Hassan, Mandya, Mysore and Bangalore districts",Karnataka,"Karnataka, India",Grey to dark grey with deeper markings on fore and hindquarters,"Long, slender, tapering horns emerging closely together, sweeping backward and upward","Medium-sized, compact, muscular frame with long legs and tight skin",Draught,"Low milk yield, cows produce enough to sustain healthy energetic calves (Avg: 542 kg per lactation)","Progenitor of many Mysore-type draught breeds, bred by the Hallikar community for superior draught strength and agility.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/cattle-breed
cow_hariana,Hariana,cattle,"Rohtak, Jind, Hisar, Bhiwani, Gurgaon (Haryana) and adjoining parts of UP and Rajasthan","Haryana, Uttar Pradesh and Rajasthan","Haryana, UP & Rajasthan, India",White or light grey; bulls have darker shades on neck and quarters,Short to medium horns curving outwards and upwards,"Medium to large, well-proportioned, compact, with clean tight skin and long straight back",Dual purpose (Milk and Draught),High milk yielding potential among northern dual-purpose breeds (Avg: 997 kg per lactation),"Premier dual-purpose breed of Northern India, extensively used across the Indo-Gangetic plains for milk and energetic draught.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/cattle-breed
cow_kangayam,Kangayam,cattle,"Tiruppur, Erode, Karur, Dindigul and Coimbatore districts",Tamil Nadu,"Tamil Nadu, India","Bulls are grey with black or dark grey markings on head, hump, and neck; cows are white and grey","Strong, stout horns curving outward and backward with tips pointing inward","Compact, sturdy, well-knitted muscular body with strong legs and short pasterns",Draught,"Moderate to low milk yield, primarily bred for powerful work bullocks (Avg: 540 kg per lactation)","Iconic draught breed of the Kongu region of Tamil Nadu, praised for unmatched pulling strength, endurance, and longevity.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/cattle-breed
