breed_id,breed_name,species,home_tract,states,origin,coat_colour,horn_characteristics,body_characteristics,production_type,milk_information,description,official_source,official_source_url
buffalo_murrah,Murrah,buffalo,"Rohtak, Jind, Hisar, Bhiwani, and Fatehabad districts",Haryana,"Haryana, India",Jet black; occasional small white markings on face and switch of tail,"Tightly curled horns ('Jalebi' curl) turning backwards, upwards and spiraling inwards","Massive, wedge-shaped dairy conformation, deep body, long neck, short legs",Milking (Dairy),"World's premier dairy buffalo breed with high lactation yields and 7-8% butterfat (Avg: 2,205 kg per lactation)","The undisputed 'Black Gold' of Indian dairying, Murrah is the premier dairy buffalo breed in the world, famed for high yields and tightly curled horns.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/node/114
buffalo_nili_ravi,Nili Ravi,buffalo,"Ferozepur, Fazilka, Amritsar, and Gurdaspur districts along Sutlej and Ravi rivers",Punjab,"Punjab, India","Predominantly black with distinctive white markings on forehead, face, muzzle, legs, and tail ('Panjkalyan')","Small, tightly curled horns similar to Murrah but slightly more compact","Deep, wedge-shaped frame, fine neck, wide hips, and well-developed udder",Milking (Dairy),"High dairy yield, close rival to Murrah in milk volume and fat content (Avg: 1,950 kg per lactation)","Celebrated dairy buffalo breed of Punjab, recognized by its distinctive 'Panjkalyan' five white markings and wall eyes.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/node/114
buffalo_bhadawari,Bhadawari,buffalo,"Agra, Etawah (UP) and Bhind, Morena (MP) in the Chambal river ravines",Uttar Pradesh and Madhya Pradesh,"UP & MP, India","Copper / wheat-straw colour, lighter shades on ventral side","Sword-shaped horns curving backward, upward, and slightly inward","Medium-sized, wedge-shaped, active body with strong legs and tough hooves",High butterfat milk,"World-famous for the highest milk fat percentage among all buffalo breeds (up to 8.5% - 13%) (Avg: 1,220 kg per lactation)","Famed copper-colored buffalo of the Chambal ravines, holding the world record for the highest butterfat content in milk.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/node/114
buffalo_mehsana,Mehsana,buffalo,"Mehsana, Banaskantha, Sabarkantha, Patan, and Gandhinagar districts",Gujarat,"Gujarat, India",Black to greyish-black,Intermediate between Murrah and Surti; irregular curve backwards and upwards with less tight curl,"Long, massive, deep-bodied with wedge-shaped dairy conformation",Milking (Dairy),"Outstanding commercial milker with long continuous lactation and short inter-calving interval (Avg: 1,988 kg per lactation)","Premier commercial dairy buffalo of northern Gujarat evolved from Murrah and Surti crosses, famed for prolonged lactation persistence.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/node/114
buffalo_surti,Surti,buffalo,"Kheda, Anand, Vadodara, Bharuch, and Surat districts",Gujarat,"Gujarat, India",Black or rusty brown; skin is dark grey to copper red,"Flat, sickle-shaped horns curving downward, backward, and then upward to form a hook","Medium-sized, well-shaped, compact body with straight back and clean head",Milking (Dairy),"High milk fat percentage (7.5-8.5%) and economical feed conversion (Avg: 1,667 kg per lactation)","Medium-sized dairy buffalo of the Charotar tract of Gujarat, recognized by characteristic sickle-shaped horns and two white neck collars.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/node/114
buffalo_jaffarabadi,Jaffarabadi,buffalo,"Gir forest and Kathiawar peninsula: Junagadh, Bhavnagar, Amreli, Porbandar, Rajkot",Gujarat,"Gujarat, India",Usually black,"Heavy, broad, flat horns drooping down along the sides of the neck and then turning upwards in an inclined curl","Massive, heaviest buffalo breed in India, deep long barrel, heavy bones and strong muscular neck",Heavy milking (Dairy),"High milk producer with very high butterfat percentage (8-10%) (Avg: 2,239 kg per lactation)","The heaviest Indian buffalo breed, originating in the Gir forests, famous for massive down-drooping horns, bulging forehead, and rich milk.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/node/114
buffalo_nagpuri,Nagpuri,buffalo,"Nagpur, Wardha, Chandrapur, Amravati, Akola, and Yavatmal districts",Maharashtra,"Maharashtra, India","Black; white patches occasionally seen on face, legs, and tail switch","Long, flat, sword-shaped horns curving backward on each side of the neck reaching nearly to the shoulders","Medium-sized, light-boned, athletic, clean-limbed body",Dual purpose (Milk and Draught),"Good dairy yield under low-input farming systems (Avg: 1,055 kg per lactation)","Prominent dual-purpose buffalo of Vidarbha with long sword-like horns, celebrated for working under extreme dry heat without wallowing.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/node/114
buffalo_pandharpuri,Pandharpuri,buffalo,"Solapur, Sangli, Satara, and Kolhapur districts along the Bhima river basin",Maharashtra,"Maharashtra, India","Usually black, occasionally light black or brownish","Very long, flat horns extending backwards, up to 45-50 inches, sometimes touching the pin bones","Medium-sized, compact, long slender barrel with thin neck and prominent eyes",Milking (Dairy),"High dairy yield with regular calving intervals (12-13 months) (Avg: 1,450 kg per lactation)","Famous dairy buffalo of southern Maharashtra, recognizable by its extraordinarily long backwards-sweeping horns and regular calving cycle.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/node/114
buffalo_marathwadi,Marathwadi,buffalo,"Beed, Parbhani, Nanded, Latur, Hingoli, and Jalna districts",Maharashtra,"Maharashtra, India",Greyish black to jet black,"Long, flat horns extending parallel to neck backwards, turning slightly upward at tips","Medium-sized, compact body with straight back and strong limbs",Dual purpose (Milk and Draught),"Moderate milk yield under drought and fodder scarcity (Avg: 1,115 kg per lactation)","Hardy dual-purpose buffalo of the Marathwada region, valued for consistent milk production and draught under recurrent drought.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/node/114
buffalo_toda,Toda,buffalo,Nilgiris district (high-altitude plateau around Ooty),Tamil Nadu,"Tamil Nadu, India","Fawn, ash-grey, or silver-grey; thick dense hairy coat with dark markings","Long, wide crescent horns emerging outwards and curving inwards to form a wide semicircle","Medium-sized, thick-set, stocky, long barrel, with dense hair along back and chest",Semi-wild / Hill / Sacred milk,"High butterfat milk (around 8%), central to the sacred dairy rituals of Toda temples (Avg: 500 kg per lactation)","Sacred, semi-wild buffalo of the Toda tribe in the high Nilgiris, famed for wide crescent horns, ash-grey coat, and cold tolerance.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/node/114
buffalo_banni,Banni,buffalo,Kutch district (Banni grasslands and Rann of Kutch fringes),Gujarat,"Gujarat, India","Black, occasionally copper-brown","Medium-sized, coiled horns curving backwards, upwards and spiraling tightly into a ring","Medium to large, compact, deep-bodied, robust frame with strong legs",High milking (Dairy),"Exceptional milk yield under night-grazing range systems in arid grasslands (Avg: 2,857 kg per lactation)","Celebrated dairy buffalo of the Kutch desert reared by Maldhari pastoralists, known for unique nocturnal grazing and high milk yields.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/node/114
buffalo_chilika,Chilika,buffalo,"Puri, Khurda, and Ganjam districts surrounding the Chilika lagoon",Odisha,"Odisha, India",Brownish black or dark grey,"Curved backwards, upwards, and slightly inwards with pointed tips","Small to medium, compact, hardy, agile body with strong hooves",Brackish water / Dual (Milk & organic curd),"Cows yield rich, thick milk with 8-9% fat, traditionally made into famous Chilika curd (Avg: 500 kg per lactation)","World-unique buffalo breed of the Chilika lagoon in Odisha, famous for nocturnal aquatic swimming and foraging on saline macrophytes.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/node/114
buffalo_kalahandi,Kalahandi,buffalo,Kalahandi and Rayagada districts,Odisha,"Odisha, India",Black or dark ash-grey,"Long, flat horns curving backward, outward and slightly upward","Medium-sized, sturdy, well-knit body with strong legs",Dual purpose (Milk and Draught),Moderate milk yield under forest grazing systems (Avg: 760 kg per lactation),"Indigenous buffalo of the Kalahandi hills of Odisha, maintained by local farmers for dual milk and agricultural tillage.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/node/114
buffalo_luit_swamp,Luit (Swamp),buffalo,Brahmaputra and Barak river basins in Assam and valleys of Manipur,Assam and Manipur,"Assam & Manipur, India","Dark grey to black, occasionally with two white chevron markings on neck",Wide crescent horns emerging outward and curving backward and upward in a flat plane,"Stocky, compact, deep body with short muscular legs and large round hooves for mud traction",Swamp / Draught & Meat,"Low milk yield (1 to 2.5 litres daily), primarily kept for draught and meat (Avg: 385 kg per lactation)","First registered swamp buffalo breed of India, recognized for 2n=48 chromosomes, broad hooves, and powerful puddling in marshy wetlands.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/node/114
buffalo_bargur,Bargur,buffalo,Bargur hills in Anthiyur taluk of Erode district,Tamil Nadu,"Tamil Nadu, India",Black or brownish black,"Curved backwards, upwards, and slightly inwards with sharp tips","Medium-sized, compact, agile, muscular body adapted to hill climbing",Draught and Milk,Low to moderate milk yield under forest grazing (Avg: 480 kg per lactation),"Hill buffalo breed reared by the Lingayat community in the Bargur hills of Tamil Nadu, known for agility in mountain terrain.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/node/114
buffalo_chhattisgarhi,Chhattisgarhi,buffalo,"Raipur, Bilaspur, Durg, Rajnandgaon, and Janjgir-Champa districts",Chhattisgarh,"Chhattisgarh, India",Black or dark ash-grey,Curved backwards and outwards with upward tips,"Medium-sized, well-proportioned body with strong legs",Dual purpose (Milk and Draught),Moderate dairy yield under rural agro-pastoral feeding (Avg: 920 kg per lactation),"Prominent dual-purpose buffalo of the Chhattisgarh plains, indispensable for rice puddle tillage and household milk production.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/node/114
buffalo_gojri,Gojri,buffalo,"Rupnagar, Hoshiarpur (Punjab) and Kangra, Chamba, Una, Bilaspur (HP)",Punjab and Himachal Pradesh,"Punjab & HP, India",Black or dark brown with white markings on face and legs in many animals,"Medium, curved backwards and upwards into a semi-circle","Medium to large, robust, deep-bodied with strong muscular limbs",Migratory / Milk,"Good dairy yield under mobile migratory feeding by Gujjars (Avg: 1,250 kg per lactation)","Migratory pastoral buffalo of the Shivalik foothills and Himachal hills, maintained by pastoral Gujjars for rich milk and ghee.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/node/114
buffalo_dharwadi,Dharwadi,buffalo,"Dharwad, Belgaum, Bagalkot, Gadag, and Haveri districts",Karnataka,"Karnataka, India",Black or greyish black,"Curved backwards, upwards, and slightly inwards","Medium-sized, compact body, straight back, clean head",Milking (Dairy),"Good milk yield with high total solids, ideal for sweet and curd preparation (Avg: 1,180 kg per lactation)","Indigenous dairy buffalo of northern Karnataka, famous for rich milk with high total solids used to make the GI-tagged Dharwad Peda.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/node/114
buffalo_manda,Manda,buffalo,"Koraput, Malkangiri, and Nabarangpur districts",Odisha,"Odisha, India",Ash grey or brown with copper tint; hair often golden-yellow at tips,"Broad, flat horns curving backwards and upwards in a broad crescent","Small to medium, sturdy, muscular body with strong legs",Dual purpose (Milk and Draught),Modest milk yield with high fat content under forest foraging (Avg: 600 kg per lactation),"Indigenous buffalo of the Koraput plateau of Odisha, bred by tribal farmers for resilient draught and nutrient-rich milk.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/node/114
buffalo_purnathadi,Purnathadi,buffalo,"Akola, Amravati, and Buldhana districts along the Purna river basin",Maharashtra,"Maharashtra, India","Black, occasionally light brownish black","Flat, sword-shaped horns curving backwards along the neck","Medium-sized, well-built, compact body with straight back",Dual purpose (Milk and Draught),"Good dairy yield with high fat content under dryland feeding (Avg: 1,150 kg per lactation)","Hardy dual-purpose buffalo of the Purna river valley in Vidarbha, adapted to saline water and deep black cotton soil tillage.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/node/114
buffalo_manah,Manah,buffalo,"Dhubri, Goalpara, and South Salmara-Mankachar districts along Brahmaputra river",Assam,"Assam, India",Dark black or greyish black,"Curved backwards, outwards, and upwards","Medium to large, deep-bodied, robust frame with wide ribs",Dual purpose (Milk and Riverine Draught),Moderate to good milk yield under riverine wetland grazing (Avg: 820 kg per lactation),"Indigenous buffalo of the lower Brahmaputra valley in Assam, renowned for remarkable swimming endurance and wetland tillage.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/node/114
buffalo_melghati,Melghati,buffalo,Amravati district (Melghat forest hills),Maharashtra,"Maharashtra, India",Black or dark grey with occasional reddish tinge,Flat horns curving backwards and upwards along the neck,"Medium-sized, compact, stocky body with strong limbs and tough hooves",Draught & Milk,Low to moderate milk yield under forest grazing (Avg: 710 kg per lactation),"Hardy indigenous buffalo of the Melghat hills of Maharashtra, reared by tribal Gaoli communities for forest grazing and hill agriculture.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/node/114
buffalo_gomanchali,Gomanchali,buffalo,North Goa and South Goa districts,Goa,"Goa, India",Black or dark brownish black,"Curved backwards, upwards, and slightly inwards","Small to medium, compact, hardy, low-set body with sturdy legs",Coastal / Dual purpose,Modest milk yield with rich fat percentage (Avg: 640 kg per lactation),"Indigenous buffalo breed of Goa officially recognized by ICAR-NBAGR, adapted to humid coastal farming and Khazan land cultivation.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/node/114
